,peak_id,peak_name,pk_name_2,location,height_m,himal,region,open,unlisted,trekking,restrict,country_host,country_status,year,season,expid,summiter_country,summiters
155,JETH,Jethi Bahurani,"Jettiborani, Jutibofurani",Api Himal (S of Nampa and Bobaye),6850,Api/Byas Risi/Guras,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,1978,Spring,JETH78101,Japan,"Kazuo Mitsui, Nobuhito Morota, Hideki Yoshida"
156,JING,Jinjang,"Genjang, Gajang, Jijang",Damodar Himal (E of Thorong La),6111,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,0,Unknown,,,Climbed by Japanese in April 1983?
157,JOBO,Jobo Rinjang,Jobo Ribjang,Rolwaling Himal (SW of Nangpa La near Tibetan border),6778,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal only,Climbed,2009,Spring,JOBO09101,USA,"Joe Puryear, David Gottlieb"
158,JOMS,Jomsom Himal,Jomsang Himal,Damodar Himal (WNW of Amotsang Himal),6335,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,2003,Autumn,JOMS03301,"France, Nepal","Hugues De Varax, Yves Exbrayat, Frederique Gaume, Paulo Grobel, Mingma Temba Sherpa"
159,JONG,Jongsang,"Jonsong, Jhinsang",Jongsang Himal (on Indian-Tibetan border),7462,Jongsang,Kangchenjunga-Janak,True,False,False,,"Nepal, China & India",Climbed,1930,Spring,JONG30101,"Germany, Austria","Hermann Hoerlin, Erwin Schneider"
160,JUNC,Junction Peak,,"Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)",7133,Dhaulagiri,Dhaulagiri-Mukut,False,True,False,,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
161,JYAC,Jyachhung,,Byas Risi Himal (NNW of Nampa on Tibetan border),6338,Api/Byas Risi/Guras,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
162,KABD,Kabru Dome,,Simhalila Himal (SE of Kabru in India),6600,Kangchenjunga/Simhalila,Kangchenjunga-Janak,False,True,False,,India only,Climbed,1982,Autumn,KABD82301,India,"Mahabir Thakur, Tshering Lobsang, K. N. Singh, Gautam Dutta, P. Bhotia, Umeshari Devi"
163,KABN,Kabru North,,Simhalila Himal (S of Kabru Main on Indian border),7338,Kangchenjunga/Simhalila,Kangchenjunga-Janak,False,True,False,,Nepal & India,Climbed,1935,Autumn,KABN35301,UK,C. R. (Reggie) Cooke
164,KABR,Kabru Main,Kabru Central,Simhalila Himal (S of Talung on Indian border),7412,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,Opened in 2014,Nepal & India,Climbed,1994,Spring,KABR94101,India,"Dan Singh, 2 unknown members"
165,KABS,Kabru South,,Simhalila Himal (S of Kabru North on Indian border),7318,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,Opened in 2003,Nepal & India,Climbed,1994,Spring,KABS94101,India,"S. P. Malik, N. Arshad, 11 members"
166,KAG1,Kagmara I,,Kagmara Lekh (S of Kanjiroba Himal),5978,Kanjiroba,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,1962,Spring,KAG162101,"UK, Nepal","Dorothea Gravina, Denise Evans, Nancy Smith, Pat Wood, Ang Temba Sherpa, Mingma Tsering Sherpa, Pemba Norbu Sherpa"
167,KAGA,Kanta Gaton,Kangfu Gaton,Kanjiroba Himal (SE of Phoksumdo Tal),5910,Kanjiroba,Kanjiroba-Far West,True,False,False,Opened in 2002,Nepal only,Climbed,2009,Summer,KAGA09201,"France, Nepal","Jean-Rene Minelli, Abel Minelli, Eienne Minelli, Sarah Minelli, Pemba Jangbu Sherpa"
168,KAIP,Kaipuchonam,,Kanti Himal (WNW of Changdi on Tibetan border),6329,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
169,KAKU,Kang Kuru,,"Mustang Himal (NNE of Tsartse, WSW of Ghami village)",6344,Mukut/Mustang,Dhaulagiri-Mukut,False,True,False,,Nepal only,Climbed,2008,Spring,KAKU08101,USA,"Peter Athans, Theodore Hessler"
